@ATTRIBUTE	DIF7	NUMERIC
@ATTRIBUTE	RR	NUMERIC
@ATTRIBUTE	DIF8	NUMERIC
@ATTRIBUTE	DE	NUMERIC
@ATTRIBUTE	DIF9	NUMERIC
@ATTRIBUTE	EL	NUMERIC
@ATTRIBUTE	DIF10	NUMERIC
@ATTRIBUTE	IR	NUMERIC
@ATTRIBUTE	TOT	NUMERIC
@ATTRIBUTE	STD	NUMERIC
@ATTRIBUTE class {43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119}
@DATA

2299.48755,0.107548176,0.0003190777,0.0851731442,0,-1.7800569551,-1646.8892602923,-0.024365625,-0.05482,0,0.0001559525,-0.2604212781,8.0010286838,2414.198791,301.73605,21.381,36,38,0.5304579296,1179.9861192677,961.9326284513,759483302.47401,8.0010286838,21381,138,-12438,-8943,-10569,-10795,0,7,17,0,15,47,125,94,63,141,16,110,78,94,532,625,32,78,141,47,62,141,15,172,16,31,47,109,141,62,63,62,78,32,141,671,47,125,15,125,15,78,16,78,4784,168,-348,516,418,98,-101,199,107,92,-85,177,48,129,-77,206,122,84,-104,188,-22,210,2067,118.5946495804,50
2199.20055,0.1051393866,-0.0016820342,-0.3004594736,0,-1.0588236902,279.1036405557,0.0696152381,-0.0092838095,0,-0.0010269349,-0.2189702792,9.0358276102,2290.521217,253.49324,20.917,45,40,0.449227476,1086.785825702,900.2366386604,711137992.717049,9.0358276102,20917,152,-11181,-9736,-10050,-10833,7,7,0,17,15,47,141,15,16,78,31,93,16,94,563,656,32,156,31,47,31,78,16,72,593,671,703,734,62,15,47,78,16,79,62,672,31,78,78,31,109,16,110,31,6569,75,-90,165,52,113,1,112,-84,196,120,76,-47,123,-16,139,44,95,-84,179,0,179,1452,42.7176778395,50
1762.3817,0.1224982067,0.0125999527,-0.1766375635,0.0794373606,-0.7738451253,-23.1934718592,-0.0208857143,-0.0626535714,0.0665971517,0.0058793788,0.1826370782,5.4796824779,1901.75049,347.05487,14.387,35,32,0.6093841633,1225.9227340879,696.0243263736,135887241.285351,5.4796824779,14387,118,-10171,-4216,-6740,-7630,0,16,6,0,125,125,31,94,94,47,62,62,16,125,125,32,16,110,31,62,78,16,62,78,78,78,0,31,94,15,47,78,94,31,47,93,16,94,16,63,31,94,15,78,2609,210,62,148,45,103,-109,212,65,147,-161,308,166,142,-24,166,50,116,-59,175,14,161,1888,56.3050135019,51
1722.81262,0.1250862281,0.0207543745,0.612902637,0.0379903218,-1.3221533956,-10.9230244992,0.08818,-0.2042,0.0251785708,0.0068729392,0.144180708,4.3191528556,1875.72844,434.28156,13.773,34,31,0.597679213,1129.2861586603,728.3551610766,113938422.181969,4.3191528556,13773,118,-8526,-5247,-6041,-7716,0,7,0,16,78,78,16,78,62,78,110,78,32,62,0,16,47,78,140,32,31,47,16,63,78,78,62,32,62,46,63,47,94,16,109,78,109,94,391,78,15,62,32,62,2828,150,43,107,-76,183,51,132,-33,165,39,126,7,119,-47,166,41,125,-2,127,-59,186,1586,27.1249633431,51
1627.88596,0.1344138354,0.0182752473,-0.3731335665,-0.0457630744,-1.1982633266,-7.3427290981,-0.0649739394,-0.1055858333,0.0363178197,0.007468216,0.015912775,5.2986189672,1743.37694,329.02478,12.111,29,29,0.5932277412,1108.0821939855,673.1868043478,102807294.629808,5.2986189672,12111,111,-8565,-3546,-5885,-6210,0,8,17,0,391,109,172,31,62,32,62,62,16,125,93,16,78,62,16,62,94,31,93,77,703,78,1312,1375,31,15,47,78,94,31,47,93,16,94,62,16,62,94,15,78,6135,164,11,153,-22,175,26,149,-61,210,-98,308,-62,370,77,293,177,116,-59,175,-93,268,2381,80.8521658787,51
1315.23204,0.085615938,0.0104172152,-0.0570625774,0,-3.6660919772,-5.1948862352,-0.3140394444,-0.0541444444,0,0.0037939753,-0.4441510261,6.4563281567,1352.8519,209.5389,15.362,36,41,0.4886057644,1070.7824698992,696.4380457311,162141274.693177,6.4563281567,15362,134,-11149,-4213,-8130,-7216,8,8,0,17,110,110,109,109,109,16,78,78,63,78,78,94,78,78,94,110,78,16,62,109,79,93,94,94,109,31,63,93,94,78,109,94,31,109,94,78,78,78,16,94,3422,201,-92,293,174,119,-212,331,75,256,-30,286,4,282,-123,405,28,377,171,206,-4,210,2966,83.5323562786,52
206.8059,0.0110680171,-0.0176590153,-0.0778702392,0.0315148598,-21.4922250146,6.3269372681,-0.2374198173,8.5263157895,0.0009088582,-0.0020718953,-0.6509763456,1.9902489748,1303.04944,654.7168,18.685,36,35,0.5194997786,1327.3783105616,669.045472029,143907087.562856,1.9902489748,18685,144,-18468,-217,-11518,-7151,0,8,4378,0,78,109,78,47,93,47,78,109,31,78,156,141,266,93,63,109,109,16,94,93,78,110,110,62,94,62,78,79,75,86,93,78,93,47,62,47,78,93,16,109,3563,211,-12,223,45,178,-177,355,86,269,109,160,-42,202,-203,405,202,203,-57,260,16,244,2710,74.4637800911,52
4.9818,0.0003418514,-0.0162132965,-0.0002633102,0.0199654894,-1615.6752820129,0,-0.46865,0.1699953488,0.000184128,-0.0007009112,-0.2919374485,1.7422377393,1037.76154,595.64864,14.573,36,22,0.6261866077,1217.4574149219,690.3986615234,97249128.8279039,1.7422377393,14573,128,-14573,0,-8188,-6369,17,17,1667,0,62,78,94,78,62,31,94,78,63,78,94,78,109,47,93,110,109,16,62,110,110,78,78,172,109,31,63,93,94,78,109,94,31,109,109,63,78,78,16,94,3358,120,-96,216,-2,218,-54,272,-6,278,-8,286,-17,303,110,193,-184,377,171,206,-111,317,2786,70.8083200042,52
617.2336,0.0344553757,-0.0068165491,-0.0114584281,0,-40.5846864237,123.3997340694,-0.2721064516,-0.8415361538,0,-0.0003375922,-0.1660364994,3.7823400229,1640.65315,433.7667,17.914,57,36,0.6158880233,1236.011830311,736.6943207057,375033416.438214,3.7823400229,17914,154,-15741,-2173,-10244,-7638,15,15,385,0,157,157,171,63,63,16,62,62,62,156,156,32,78,109,16,94,78,204,78,140,16,78,125,109,31,219,78,78,31,141,62,15,94,484,62,47,78,78,32,93,4014,334,58,276,132,144,-418,562,394,168,25,143,-179,322,196,126,-39,165,-154,319,151,168,2727,131.7979169376,53
1515.22138,0.0829122506,0.00420771,0.1063957787,0.0064564565,0.3092153648,-60.4859282696,0.144242,-0.0233904,0.0207567621,0.0030045462,-0.3898451632,7.6851780205,1515.22138,197.16152,18.275,39,36,0.549741237,1182.7866335037,593.1951527057,322934651.069896,7.6851780205,18275,133,-17018,-1257,-9637,-8621,0,8,17,0,94,187,31,78,79,15,109,250,63,31,0,15,79,78,78,157,63,31,62,31,141,31,16,78,94,78,47,78,15,94,109,125,78,62,93,32,78,31,78,47,3061,179,7,172,28,144,-169,313,145,168,-186,354,169,185,59,126,-25,151,-390,541,329,212,2545,124.7303272883,53
1427.89658,0.0754542687,-0.0002008529,-0.0012782793,-0.0184130603,-1.2231482575,0,-0.106320303,-0.1476663636,0.0232993693,-2.10860686230742E-005,0.044327337,2.5016296017,1786.60775,714.17757,18.924,61,42,0.5666101681,1113.5824104415,660.3462537948,356202375.892552,2.5016296017,18924,162,-15920,-3004,-11174,-7734,13,13,1168,0,93,62,94,94,78,93,79,62,62,156,0,47,141,19,113,16,62,32,78,78,63,125,62,78,63,219,78,78,31,141,62,15,94,484,47,63,31,78,32,93,3506,177,-20,197,18,179,6,173,-14,187,44,143,-81,224,89,135,-30,165,-154,319,60,259,2158,53.5104068043,53
879.9507,0.0744333192,-0.01739135,0.0199591285,0.0446716728,-17.6419019928,36.9165305924,-1.3317191196,27,0.0288370382,-0.0006445057,-0.0986481313,3.2828137665,1494.07256,455.1195,11.822,31,22,0.5642215079,1275.3266815625,602.3362322292,130282946.016951,3.2828137665,11822,113,-10019,-1803,-5706,-6099,7,7,443,0,63,63,125,47,47,31,16,16,63,78,78,156,31,47,31,78,62,63,78,78,94,62,94,63,125,47,47,93,172,15,63,78,16,125,110,125,93,63,15,79,2970,1051,849,202,-8,210,-291,501,317,184,-12,196,10,186,-563,749,546,203,-56,259,120,139,3880,294.5172629606,54
