@relation 'Hand-based-all-weka.filters.unsupervised.attribute.Remove-R1-31,75-97'

@attribute dtfk1 numeric
@attribute ft1 numeric
@attribute dtsk1 numeric
@attribute dtfk2 numeric
@attribute ft2 numeric
@attribute dtsk2 numeric
@attribute dtfk3 numeric
@attribute ft3 numeric
@attribute dtsk3 numeric
@attribute dtfk4 numeric
@attribute ft4 numeric
@attribute dtsk4 numeric
@attribute dtfk5 numeric
@attribute ft5 numeric
@attribute dtsk5 numeric
@attribute dtfk6 numeric
@attribute ft6 numeric
@attribute dtsk6 numeric
@attribute dtfk7 numeric
@attribute ft7 numeric
@attribute dtsk7 numeric
@attribute dtfk8 numeric
@attribute ft8 numeric
@attribute dtsk8 numeric
@attribute dtfk9 numeric
@attribute ft9 numeric
@attribute dtsk9 numeric
@attribute dtfk10 numeric
@attribute ft10 numeric
@attribute dtsk10 numeric
@attribute dtfk11 numeric
@attribute ft11 numeric
@attribute dtsk11 numeric
@attribute dtfk12 numeric
@attribute ft12 numeric
@attribute dtsk12 numeric
@attribute dtfk13 numeric
@attribute ft13 numeric
@attribute dtsk13 numeric
@attribute dtfk14 numeric
@attribute ft14 numeric
@attribute dtsk14 numeric
@attribute sum numeric
@attribute class {43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119}

@data
16,0,109,109,141,93,93,16,141,141,265,390,390,63,110,15,78,38,15,93,219,109,109,94,78,94,141,46,125,985,203,62,141,47,172,359,125,94,141,78,110,109,6223,63
7,0,297,110,47,109,594,94,15,172,250,31,0,15,187,985,94,140,94,125,125,94,94,62,31,78,235,94,172,109,16,110,78,157,282,15,344,406,16,156,313,391,6904,63
8,0,344,78,141,78,219,110,15,141,265,390,0,46,140,31,125,31,141,187,94,94,125,157,1312,109,94,46,125,985,203,62,141,47,172,359,391,31,109,78,110,109,7576,63
1027,0,110,110,31,141,141,109,94,94,78,156,156,63,93,93,63,78,109,31,110,94,141,109,78,78,78,78,63,234,234,63,157,109,94,63,62,125,94,94,203,140,4641,64
428,0,94,172,63,156,128,63,93,94,16,62,0,78,125,234,78,94,94,94,62,641,78,108,94,62,94,78,94,78,156,47,109,141,78,140,32,93,47,78,63,109,4392,64
487,0,32,344,62,94,110,62,94,94,78,156,125,62,94,93,94,94,125,62,109,94,110,141,797,94,94,78,63,234,234,63,157,109,94,63,109,156,63,94,203,140,5392,64
600,0,172,172,31,78,78,16,94,94,141,250,250,47,47,94,15,63,62,47,62,47,31,47,0,31,94,63,62,78,32,141,31,16,78,16,16,78,47,63,31,78,3049,65
396,0,109,110,62,109,94,31,94,78,172,16,0,47,47,78,172,47,47,125,16,94,31,49,141,31,47,15,63,78,31,94,31,968,63,125,16,78,16,63,31,110,3707,65
308,0,16,110,188,62,62,16,78,94,141,250,906,1000,47,78,31,141,94,203,78,91,875,968,735,797,47,63,62,78,32,141,31,16,78,16,110,15,93,63,31,78,8140,65
1847,0,93,93,172,94,94,125,62,62,391,110,110,15,110,78,235,93,78,109,79,125,204,109,109,47,172,297,78,235,297,31,141,93,282,109,344,62,360,93,32,109,5689,66
637,0,93,172,31,125,93,16,78,94,47,94,125,15,141,235,78,250,16,125,344,125,125,125,218,157,15,78,94,94,172,31,140,78,141,15,62,94,344,94,62,94,4655,66
105,0,62,394,16,94,79,31,94,62,391,110,0,15,109,16,63,218,125,188,109,94,156,78,1172,1313,16,297,78,235,297,31,141,93,282,109,94,141,266,93,32,109,7678,66
17,0,109,109,234,78,78,94,63,63,15,109,109,16,62,31,141,63,46,47,63,63,93,78,62,78,188,94,47,94,109,16,31,94,47,125,15,78,47,62,32,78,3155,67
628,0,94,109,16,78,79,15,31,78,63,31,0,15,62,94,78,78,78,63,15,93,110,62,94,62,94,78,63,62,94,47,94,109,78,110,62,31,63,63,47,94,2765,67
870,0,62,109,203,16,63,47,47,63,15,109,125,16,63,16,31,94,62,16,79,78,125,109,884,62,78,94,47,94,109,16,31,94,47,125,94,46,47,62,32,78,3729,67
202,0,109,109,16,62,62,32,78,78,31,109,109,31,63,32,140,47,62,32,78,62,110,94,0,47,94,16,188,359,218,47,16,16,47,62,16,78,16,47,46,63,3000,68
7,0,94,63,15,47,63,15,32,62,16,47,0,15,94,359,78,47,31,47,16,62,94,78,79,93,94,62,63,94,94,15,62,94,156,16,16,78,15,63,47,47,2969,68
7,0,16,110,203,16,78,15,79,78,31,109,0,31,94,59,32,79,125,78,78,62,78,94,703,766,31,16,188,359,218,47,16,16,47,62,47,15,94,47,46,63,4467,68
690,0,82,82,121,102,102,31,118,118,53,91,91,259,144,63,62,109,31,78,16,125,125,93,875,125,125,156,47,78,110,94,187,110,343,125,110,31,125,94,15,125,5127,69
8,0,62,109,78,94,16,141,63,110,15,63,78,172,94,78,78,157,219,16,110,16,94,109,110,125,109,79,78,93,94,125,78,125,125,250,110,15,109,156,15,109,4174,69
706,0,110,110,78,109,16,93,532,118,53,91,94,223,125,16,93,110,156,16,78,171,125,125,125,110,219,156,47,78,110,94,187,110,343,125,109,16,125,94,15,125,4970,69
17,0,78,78,94,78,78,16,94,94,15,63,63,62,63,78,94,78,62,32,46,31,93,94,657,78,109,78,15,79,63,109,140,78,16,62,79,15,47,15,47,16,3312,70
17,0,62,62,94,125,156,32,78,78,79,62,515,63,78,79,62,78,78,31,79,15,47,172,109,63,94,63,62,125,78,79,78,109,172,15,63,47,78,109,16,79,3658,70
17,0,63,63,78,78,46,16,78,94,15,63,94,62,79,31,63,109,110,172,16,110,78,109,63,109,78,78,15,79,63,109,140,78,16,62,79,78,62,15,47,16,2985,70
7,0,94,94,94,78,78,94,94,94,31,140,140,31,62,94,141,219,93,16,94,94,110,78,94,125,94,125,63,109,62,94,62,78,94,109,125,78,94,78,78,62,4296,71
0,16,94,125,16,78,94,62,94,94,62,78,0,16,62,109,62,110,31,109,125,94,203,78,94,46,32,78,78,63,94,109,62,109,78,78,16,78,46,78,63,78,3310,71
7,0,16,219,31,63,94,47,78,94,31,140,109,16,78,63,78,94,109,16,78,62,79,109,937,63,31,125,63,109,62,94,62,78,94,109,78,94,78,78,78,62,4249,71
0,17,113,113,168,69,69,166,90,90,63,80,80,442,110,65,101,192,89,36,79,79,96,80,78,297,141,47,78,78,69,111,41,63,78,109,81,37,78,33,69,61,8445,72
15,0,79,68,80,72,98,49,65,78,31,78,70,411,65,78,94,187,89,24,81,94,94,78,172,94,406,58,68,150,78,94,94,141,62,141,79,13,85,78,63,78,4213,72
0,16,79,39,136,79,79,21,104,90,63,80,73,185,103,109,31,172,11,73,31,47,94,141,74,258,89,47,78,78,69,111,41,63,78,109,78,15,94,33,69,61,3365,72
17,0,94,94,125,63,63,78,109,109,63,78,78,125,47,78,109,172,46,16,63,125,78,63,63,172,78,265,79,78,141,46,32,62,32,109,41,65,78,78,15,63,3560,73
17,0,78,156,31,63,62,63,78,94,31,94,78,125,203,78,93,110,172,116,41,63,141,46,63,109,62,31,62,79,156,47,94,126,46,219,47,63,62,78,47,46,3641,73
0,17,47,63,62,78,63,15,94,109,63,78,62,125,110,78,47,63,32,31,62,94,62,126,906,94,172,265,79,78,141,46,32,62,32,109,46,47,94,78,15,63,4048,73
0,17,110,110,125,78,78,31,78,78,156,141,141,16,125,110,125,203,78,16,94,109,110,78,109,16,140,47,63,94,94,125,78,187,16,94,109,32,109,79,78,62,3862,74
7,0,125,110,125,94,32,218,110,78,16,62,172,15,94,94,62,125,109,63,109,78,94,78,109,79,15,63,93,79,78,110,78,110,93,32,78,16,93,94,31,63,3611,74
7,0,78,78,125,110,94,31,78,78,156,141,125,109,125,47,78,109,94,15,63,63,93,110,129,62,109,47,63,94,94,125,78,187,16,94,63,62,47,79,78,62,3614,74
800,0,78,78,125,47,47,46,63,63,47,62,62,141,62,63,125,78,62,110,78,78,110,78,63,140,79,78,62,79,79,140,47,63,15,78,47,94,63,78,16,62,3080,75
7,0,62,93,110,94,78,78,63,62,32,93,78,157,62,79,62,125,94,203,47,78,156,94,141,62,125,47,109,47,109,94,62,125,47,78,47,47,62,63,47,78,3515,75
732,0,47,94,94,62,78,47,62,63,47,62,63,140,78,46,47,141,78,31,63,63,78,125,79,171,94,78,62,79,79,140,47,63,15,78,78,62,63,78,16,62,3141,75
