@relation Hand-based-all-weka.filters.unsupervised.attribute.Remove-R1-74

@attribute ME numeric
@attribute DIF1 numeric
@attribute ER numeric
@attribute DIF2 numeric
@attribute RI numeric
@attribute DIF3 numeric
@attribute CA numeric
@attribute DIF4 numeric
@attribute SE numeric
@attribute DIF5 numeric
@attribute IC numeric
@attribute DIF6 numeric
@attribute NO numeric
@attribute DIF7 numeric
@attribute RR numeric
@attribute DIF8 numeric
@attribute DE numeric
@attribute DIF9 numeric
@attribute EL numeric
@attribute DIF10 numeric
@attribute IR numeric
@attribute TOT numeric
@attribute STD numeric
@attribute class {43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119}

@data
645,45,600,388,212,-710,922,629,293,-20,313,77,236,84,152,-23,175,-21,196,18,178,3922,252.195307,77
774,-1166,1940,1470,470,59,411,135,276,70,206,-26,232,80,152,-23,175,59,116,-46,162,4914,531.332681,77
176,-8,184,-43,227,-52,279,4,275,-38,313,53,260,100,160,-15,175,-21,196,11,185,2430,52.395524,77
705,535,170,-357,527,325,202,56,146,-231,377,115,262,119,143,-18,161,-291,452,141,311,3456,183.883016,78
723,-1188,1911,1501,410,231,179,16,163,-264,427,251,176,33,143,-108,251,-169,420,100,320,5123,509.018092,78
226,66,160,-496,656,468,188,-107,295,-82,377,108,269,109,160,-1,161,-291,452,0,452,3396,159.863123,78
911,736,175,-47,222,-214,436,286,150,32,118,-248,366,211,155,-7,162,-56,218,117,101,3014,235.045528,79
1168,944,224,63,161,-58,219,82,137,-82,219,18,201,46,155,4,151,-573,724,399,325,3684,322.216528,79
790,631,159,-26,185,33,152,-59,211,93,118,-1169,1287,1171,116,-46,162,-56,218,-141,359,3757,368.027543,79
153,-59,212,60,152,-216,368,232,136,-92,228,44,184,32,152,21,131,-29,160,-55,215,2091,67.695575,80
58,-124,182,72,110,34,76,-142,218,48,170,-14,184,32,152,0,152,17,135,-6,141,1578,47.525496,80
60,-80,140,31,109,-109,218,-38,256,28,228,31,197,36,161,30,131,-29,160,-41,201,1861,57.593087,80
207,5,202,51,151,20,131,-13,144,-247,391,156,235,50,185,-1,186,77,109,33,76,2017,83.120723,81
92,-128,220,120,100,18,82,-118,200,109,91,-118,209,24,185,16,169,0,169,-23,192,1709,53.145598,81
195,53,142,-450,592,483,109,-91,200,-191,391,207,184,41,143,-43,186,77,109,-42,151,2402,145.769868,81
197,66,131,60,71,-146,217,40,177,25,152,-24,176,49,127,2,125,-7,132,51,81,1586,45.360375,82
101,-53,154,46,108,-84,192,15,177,22,155,66,89,-38,127,16,111,-126,237,135,102,1553,46.354759,82
140,37,103,-2,105,-70,175,-10,185,33,152,-29,181,42,139,14,125,-7,132,51,81,1518,33.757962,82
386,144,242,48,194,-6,200,9,191,-153,344,126,218,42,176,-15,191,-127,318,142,176,2636,74.439603,83
146,-49,195,14,181,18,163,1,162,-100,262,79,183,7,176,-8,184,-42,226,-18,244,2122,36.247633,83
179,-5,184,49,135,-41,176,-168,344,0,344,124,220,2,218,27,191,-127,318,82,236,2545,72.23195,83
511,333,178,-395,573,346,227,66,161,-191,352,7,345,212,133,-35,168,-474,642,225,417,3707,180.061101,84
360,200,160,-342,502,223,279,127,152,-240,392,153,239,106,133,-42,175,-858,1033,478,555,3980,265.014271,84
522,320,202,-390,592,112,480,305,175,-177,352,-205,557,421,136,-32,168,-474,642,-348,990,4816,262.560781,84
135,-243,378,248,130,-34,164,95,69,-390,459,98,361,217,144,23,121,-169,290,183,107,2358,132.711923,85
124,-17,141,24,117,55,62,-86,148,-263,411,347,64,-80,144,55,89,-65,154,12,142,1596,94.171604,85
57,-83,140,27,113,-20,133,-31,164,-295,459,329,130,0,130,9,121,-169,290,100,190,1927,110.430809,85
138,-4,142,-662,804,585,219,43,176,42,134,-52,186,17,169,7,162,16,146,50,96,2372,197.727223,86
141,-304,445,217,228,52,176,9,167,16,151,-18,169,0,169,17,152,-267,419,333,86,2303,115.14102,86
