Sigdist,AVXV,AYXV,VEL1Y,VEL1X,VEL4X,VEL4Y,VEL5,VEL6,VELCOR,Initdir,XSize,YSize,TotalTime,VeLXZero,VelYZero,AvPress,PIXELCENX,PIXELCENY,PTD,HDRATION,SET,DCHANGE,DUR1,DUR2,DUR3,DUR4,TIME3,TIME4,TIME5,TIME6,class
2138.77,0.17,0.02,0,0,-1.5,-8.67,-0.01,-0.18,0,0,-0.53,5.99,2271.22,379.31,12.25,28,25,0.63,1112.43,689.48,230146352.5,5.99,12254,125,-7562,-4692,-6431,-5806,0,7,68
2060.42,0.11,0.01,-0.29,0.5,-2.6,-22.13,0.2,-0.22,0.02,0,-0.59,5.6,2194.62,391.69,18.63,27,27,0.59,1085.02,662.14,219490239.9,5.6,18629,126,-6903,-11726,-6013,-12599,0,7,68
-203.03,-0.01,-0.01,0.01,-0.02,44.89,0,0.54,0.3,0,0,0,3.81,2106.4,552.35,32.57,103,70,0.49,955.97,625.5,396724900.4,3.81,32573,225,-21632,-10941,-16787,-15770,25,25,69
281.43,0.01,0,0,0,-86.93,0,-1.17,54,0,0,-0.03,4.29,1362.89,317.56,21.14,82,55,0.58,956.69,620.25,294893533.8,4.29,21141,198,-15304,-5837,-10960,-9820,0,8,69
1315.52,0.06,0.01,0,0.01,-0.91,0,-0.06,-0.19,0.01,0,-0.01,4.16,2039.08,489.89,21.43,114,72,0.59,948.68,599.7,354473056.4,4.16,21425,197,-15824,-5601,-10460,-10952,2,2,69
1922.8,0.12,0.01,-0.18,-0.18,-3.64,-37.99,-0.43,-0.21,0.06,0,-0.47,6.31,2350.36,372.59,16.28,32,24,0.67,1230.29,899.18,565401972.7,6.31,16283,126,-9790,-6493,-8679,-7588,0,17,70
1988,0.11,0,-0.1,-0.15,-0.97,173.58,-0.11,-0.16,0.04,0,-0.48,6.36,2302.51,361.77,17.31,33,26,0.67,1173.39,918.23,498634474.3,6.36,17310,136,-8528,-8782,-8528,-8765,0,17,70
2006.33,0.12,0,0.03,0.09,-2.88,-284.22,-0.35,-0.29,0.06,0,-0.53,6.18,2293.44,370.93,16.66,37,19,0.71,1302.85,798.33,593658803.1,6.18,16662,134,-11422,-5240,-8074,-8572,0,7,70
1882.36,0.2,-0.02,0.53,-0.07,-0.43,58.28,-0.09,-0.14,0.02,0,-0.58,6.07,1887.13,311.09,9.36,36,38,0.52,1029.49,349.23,90562485.66,6.07,9360,110,-7445,-1915,-4128,-5215,7,7,71
1631.2,0.2,-0.01,0,-0.05,-0.95,125.59,-0.19,-0.11,0.09,0,-0.57,5.09,1634.51,321.13,7.96,38,35,0.55,1056.38,629.22,67984440.75,5.09,7963,117,-5378,-2585,-4136,-3684,0,17,71
1743.57,0.23,-0.02,-0.01,0,0.25,54.23,0.06,-0.02,0,0,-0.52,6.46,1745.03,270.26,7.69,38,34,0.55,1160.9,680.16,63454147.4,6.46,7688,115,-6826,-862,-3583,-4088,8,8,71
1175.38,0.13,0.01,-0.07,-0.1,-1.26,-58.32,0.13,-0.14,0.04,0,-0.48,6.15,1366.11,222.01,9.25,22,22,0.38,1027.6,994,76206447.28,6.15,9247,92,-5013,-4234,-5040,-4146,7,0,72
1240.77,0.15,0,0,0,-0.63,107.29,0.1,0.01,0,0,-0.58,8.71,1404.12,161.2,8.17,22,20,0.42,1165.24,1054.51,66004589.6,8.71,8165,96,-4955,-3210,-4357,-3792,8,15,72
1329.66,0.16,0,0.23,0.05,-1.33,543.76,0.3,-0.63,0.03,0,-0.28,10.38,1507.81,145.31,8.21,15,18,0.45,1109.22,1091.48,72520166.92,10.38,8211,86,-4331,-3880,-3669,-4525,8,0,72
1080.55,0.04,0,-0.25,0.09,-1.83,0,-0.07,-0.02,0.01,0,-0.55,5.33,2074.45,389.35,25.4,23,21,0.63,1162.54,587.85,306885381.3,5.33,25395,117,-21976,-3419,-7243,-18135,7,7,73
1908.38,0.14,0.01,0.28,0.07,-1.62,-7.33,-0.04,-0.05,0.04,0,-0.5,5.68,2057.49,362.06,13.91,13,14,0.65,1202.87,568,244939221.7,5.68,13907,98,-11300,-2607,-7689,-6202,0,17,73
2064.7,0.17,0.01,0.29,0,-1.47,-24,-0.04,-0.27,0.02,0,-0.47,4.65,2202.9,473.56,12.26,20,15,0.69,1311.5,550.59,269258794.3,4.65,12258,105,-9951,-2307,-6161,-6080,0,8,73
1737.43,0.13,0.01,-0.03,0,-0.86,0,0.08,0.06,0.07,0,-0.09,8.97,1823.2,203.3,13.56,27,23,0.63,1157.48,630.24,192725561.6,8.97,13560,119,-10619,-2941,-6495,-6363,7,7,74
1847.46,0.15,0.01,-0.31,-0.28,-1.07,-36.65,0.09,0.08,0.1,0,-0.13,7.82,1891.61,241.8,12.57,31,31,0.63,1039.09,595.81,216514879.5,7.82,12574,132,-10047,-2527,-5565,-6992,7,7,74
2021.43,0.17,0.02,0.23,-0.03,-2.17,-18.04,0.03,-0.07,0.02,0,-0.04,6.52,2129.52,326.49,11.73,25,25,0.65,1154.06,613.2,212091650.3,6.52,11734,118,-8978,-2756,-5736,-5982,7,7,74
391.81,0.02,-0.01,0.03,0.11,-43.24,34.03,0.24,0.53,0.02,0,0.19,2.89,1289.6,445.7,17.82,68,52,0.53,754.54,391.64,298159471.3,2.89,17816,152,-12921,-4895,-9218,-8581,8,8,75
1096.14,0.06,0.01,0,0,-0.56,0,-0.01,0.01,0,0,0.28,10.6,1098.38,103.6,17.12,72,54,0.64,621.47,363.31,255561553.4,10.6,17115,169,-11293,-5822,-8581,-8481,0,7,75
64.28,0,0,0.02,0.02,-1097.53,471.39,-0.24,-0.54,0,0,0.99,5.22,1102.77,211.28,14.75,61,49,0.66,660.79,345.58,200347190.7,5.22,14748,162,-11477,-3271,-8145,-6587,8,8,75
1315.23,0.08,0.01,0,0,-0.05,-54.88,0.04,-0.04,0.04,0,-0.63,8.01,1330.83,166.07,15.64,45,39,0.48,826.74,196.46,152143958.5,8.01,15640,149,-15000,-640,-8819,-6787,8,8,76
1354.12,0.12,0.01,-0.29,0.07,-1.42,-23.11,-0.18,-0.16,0.03,0,-0.54,9.82,1360.36,138.49,10.98,31,30,0.55,713.64,129.24,114918039.2,9.82,10983,134,-10784,-199,-5678,-5289,8,8,76
1364.45,0.13,0,0.08,0,0.43,-105.48,0.19,-0.14,0,0,-0.74,8.05,1364.45,169.48,10.32,27,23,0.52,770.67,164.89,101583560.5,8.05,10321,126,-10321,0,-5129,-5026,0,7,76
2270.74,0.17,0,-0.24,0,-0.76,-225.5,-0.13,-0.32,0,0,0.02,7.07,2327.17,329.12,13.48,31,35,0.54,1381.01,652.69,181776703.3,7.07,13479,111,-9800,-3679,-6071,-7391,0,8,77
211.1,0.01,0.01,-0.02,-0.02,0.17,-74.46,0.18,-0.14,0,0,-0.2,4.12,2288.08,555.42,26.7,28,33,0.53,1317.8,764.14,154323664.3,4.12,26699,101,-23337,-3362,-19971,-6711,0,7,77
2242.67,0.19,0,-0.03,0.16,0.48,-471.24,0.15,-0.2,0.06,0,-0.09,6.88,2303.09,334.68,11.68,31,29,0.53,1306.37,817.09,142819481.1,6.88,11681,104,-8301,-3380,-5867,-5798,7,7,77
