VEL5,VEL6,TIME6,dtfk1,ft3,dtfk8,dtfk9,dtfk12,ft12,dtfk13,dtsk13,class
0.878564,0.204851,0.040712,0.004103,0.246914,0.193448,0.143293,0.135252,0.640097,0.237288,0.302326,84
0.865577,0.402839,0.030534,0.002188,0.246914,0.340094,0.237805,0.22446,0.227053,0.350282,0.364341,84
0.878314,0.202245,0.035623,0.001915,0.03367,0.340094,0.118902,0.135252,0.640097,0.350282,0.244186,84
0.87938,0.20897,0.035623,0.00465,0.105499,0.439938,0.118902,0.113669,0.036232,0.293785,0.182171,85
0.876466,0.206704,0.040712,0.009026,0.139169,0.24337,0.022866,0.067626,0.2657,0.116761,0.244186,85
0.877504,0.210864,0.035623,0.00465,0.071829,0.24337,1.286585,0.113669,0.036232,0.293785,0.302326,85
0.88478,0.210571,0.040712,0.002188,0.175084,0.343214,0.118902,0.156835,0.038647,0.056497,0.120155,86
0.888819,0.201841,0.086514,0.174234,0.105499,0.196568,0.070122,0.988489,0.227053,0.120527,0.120155,86
0.446364,0,0.025445,0,0.069585,0,1.166159,0.156835,0.038647,0.354049,0.244186,86
0.879829,0.21045,0.035623,0.001915,0.177329,0.390016,0.213415,0.179856,0.038647,0,0.24031,87
0.874782,0.209233,0.040712,0.00465,0.280584,0.24337,0.166159,0.247482,0.188406,0.354049,0.244186,87
0.857073,0.390335,0.035623,0.210613,0.069585,0.340094,1.501524,0.179856,0.038647,0.350282,0.364341,87
0.818622,0.656817,0.035623,0.10093,0.175084,0.24337,0.096037,0.11223,0.415459,0.237288,0.244186,88
0.881066,0.211824,0.035623,0.398796,0.105499,0.24337,0.166159,0.179856,0.149758,0.237288,0.120155,88
0.867381,0.418633,0.035623,0.529267,0.105499,0.193448,0.094512,0.11223,0.415459,0.293785,0.124031,88
0.864523,0.219984,0.040712,0.04267,0.655443,0.046802,0.143293,0.067626,0.036232,0.120527,0.062016,89
0.875595,0.204334,0.040712,0.002188,0,0.340094,0.094512,0.158273,0.227053,0.293785,0.244186,89
0,0.341749,0.086514,0.129923,0.666667,0.146646,1.237805,0.067626,0.036232,0.177024,0.182171,89
0.82686,0.656817,0.040712,0.135394,0.035915,0.24337,0.096037,0.067626,0.188406,0.177024,0.182171,90
0.877674,0.213399,0.035623,0,0.175084,0.293292,0.143293,0.133813,0.2657,0.177024,0.24031,90
0.868491,0.219668,0.086514,1.571937,0.139169,0.196568,0.096037,0.067626,0.188406,0.354049,0.24031,90
0.866069,0.2064,0.086514,0.27954,0.116723,0.293292,0.094512,0.067626,0.036232,0.120527,0.120155,91
0.880351,0.218216,0.020356,0.147976,0.069585,0.24337,0.143293,0.089209,0.227053,0.233522,0.24031,91
0.875795,0.211404,0.040712,0.055252,0.035915,0.237129,1.239329,0.067626,0.036232,0.297552,0.604651,91
0.875989,0.206524,0.035623,0.004103,1.263749,0.193448,0.096037,0.090647,0.301932,0.237288,0.24031,92
0.8809,0.21049,0.035623,0.00465,0.244669,0.24337,0.190549,0.158273,0.149758,0.293785,0.178295,92
0.875672,0.208632,0.040712,0.001915,0.175084,0.146646,0.096037,0.090647,0.301932,0.293785,0.182171,92
2,1.028611,0,0,0.069585,0.340094,0.262195,0.046043,0.111111,0.116761,0.302326,93
0.841169,0.397606,0.035623,0.002188,0,0.293292,0.022866,0.156835,0.188406,0.233522,0.364341,93
0.924134,0.173236,0.035623,0.129376,0.071829,0.293292,1.096037,0.046043,0.111111,0.410546,0.426357,93
